id_lote,diagnosis_code,interpretation_short,management_recommendation,anomaly_class,anomaly_flags,dominant_subzone
A52,CAB_MEDIO|N_MEDIO|H2O_MEDIO|EFF_BAJO|BIO_BAJO|STR_ALTO,estado fisiologico intermedio; heterogeneidad interna relevante,manejo variable intra-lote,NORMAL,sin_alerta_mayor,Transicion
A53,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_MEDIO|BIO_BAJO|STR_MEDIO,canopeo vigoroso y bien abastecido,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Alta
A54,CAB_MEDIO|N_MEDIO|H2O_MEDIO|EFF_BAJO|BIO_BAJO|STR_ALTO,estado fisiologico intermedio; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Transicion
A55,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_ALTO|BIO_MEDIO|STR_BAJO,canopeo vigoroso y bien abastecido; mayor presion carotenoide o senescencia relativa,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Alta
A56,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_MEDIO|BIO_MEDIO|STR_MEDIO,canopeo vigoroso y bien abastecido,mantener seguimiento y usar como referencia fisiologica,ATIPICO,sin_alerta_mayor,Alta
A57,CAB_ALTO|N_ALTO|H2O_BAJO|EFF_MEDIO|BIO_MEDIO|STR_MEDIO,estado fisiologico intermedio,revisar condicion hidrica y cierre estomatico,NORMAL,agua_baja,Transicion
A58,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_MEDIO|BIO_BAJO|STR_MEDIO,canopeo vigoroso y bien abastecido,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Alta
A59,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_ALTO|BIO_BAJO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,MUY_ATIPICO,"clorofila_muy_baja, agua_baja, funcion_alta, heterogeneidad_alta",Critica
A60,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_ALTO|BIO_ALTO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,NORMAL,"N_bajo, subzona_critica_extensa, incertidumbre_alta",Critica
A61,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_ALTO|BIO_BAJO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,MUY_ATIPICO,"clorofila_muy_baja, N_bajo, agua_baja, funcion_alta, subzona_critica_extensa",Critica
A62,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_ALTO|BIO_BAJO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,MUY_ATIPICO,"clorofila_muy_baja, N_bajo, agua_baja, funcion_alta, heterogeneidad_alta, subzona_critica_extensa",Critica
A63,CAB_BAJO|N_MEDIO|H2O_ALTO|EFF_MEDIO|BIO_BAJO|STR_BAJO,estado fisiologico intermedio; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; manejo variable intra-lote,NORMAL,incertidumbre_alta,Critica
A64,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_BAJO|BIO_MEDIO|STR_ALTO,canopeo vigoroso y bien abastecido; heterogeneidad interna relevante,manejo variable intra-lote,ATIPICO,sin_alerta_mayor,Alta
A65,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_ALTO|BIO_BAJO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,MUY_ATIPICO,"clorofila_muy_baja, N_bajo, agua_baja, funcion_alta, heterogeneidad_alta, subzona_critica_extensa",Critica
A66,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_BAJO|BIO_BAJO|STR_ALTO,deficit pigmentario y nutricional relativo; heterogeneidad interna relevante; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote,NORMAL,sin_alerta_mayor,Critica
